Date,Time,Class Name,Count
2024-01-08,17:24:14,car,1
2024-01-08,17:24:24,car,4
2024-01-08,17:24:34,car,7
2024-01-08,17:24:34,bus,2
2024-01-08,17:24:44,car,7
2024-01-08,17:24:44,bus,2
2024-01-08,17:24:54,car,9
2024-01-08,17:24:54,bus,4
